row,room,capacity,date,nineToEleven,attendanceNineToEleven,elevenToOne,attendanceElevenToOne,oneToThree,attendanceOneToThree,threeToFive,attendanceThreeToFive,day_of_week,month,week_of_year
82,Quick 8,8,2024-01-18,,4.0,,0.0,,0.0,,0.0,3,1,3
83,Pole Position,20,2024-01-18,,14.0,,0.0,,15.0,,0.0,3,1,3
84,Cockpit,10,2024-01-18,,0.0,,7.0,,0.0,,0.0,3,1,3
85,Pit-Lane,4,2024-01-19,,2.0,,3.0,,3.0,,4.0,4,1,3
86,Dry-lane,4,2024-01-19,,0.0,,0.0,,0.0,,3.0,4,1,3
87,Joker Lap,4,2024-01-19,,2.0,,4.0,,4.0,,0.0,4,1,3
88,Quick 8,8,2024-01-19,,7.0,,0.0,,0.0,,8.0,4,1,3
89,Pole Position,20,2024-01-19,,0.0,,13.0,,0.0,,0.0,4,1,3
90,Cockpit,10,2024-01-19,,7.0,,8.0,,5.0,,0.0,4,1,3
91,Pit-Lane,4,2024-01-22,,4.0,,4.0,,3.0,,0.0,0,1,4
92,Dry-lane,4,2024-01-22,,3.0,,0.0,,0.0,,0.0,0,1,4
93,Joker Lap,4,2024-01-22,,0.0,,2.0,,4.0,,0.0,0,1,4
94,Quick 8,8,2024-01-22,,0.0,,8.0,,4.0,,0.0,0,1,4
95,Pole Position,20,2024-01-22,,0.0,,0.0,,18.0,,15.0,0,1,4
96,Cockpit,10,2024-01-22,,0.0,,6.0,,8.0,,8.0,0,1,4
97,Pit-Lane,4,2024-01-23,,0.0,,4.0,,3.0,,0.0,1,1,4
98,Dry-lane,4,2024-01-23,,0.0,,0.0,,2.0,,2.0,1,1,4
99,Joker Lap,4,2024-01-23,,2.0,,0.0,,0.0,,2.0,1,1,4
100,Quick 8,8,2024-01-23,,6.0,,7.0,,7.0,,0.0,1,1,4
101,Pole Position,20,2024-01-23,,0.0,,0.0,,0.0,,11.0,1,1,4
102,Cockpit,10,2024-01-23,,0.0,,6.0,,6.0,,0.0,1,1,4
103,Pit-Lane,4,2024-01-24,,3.0,,3.0,,0.0,,3.0,2,1,4
104,Dry-lane,4,2024-01-24,,0.0,,0.0,,0.0,,0.0,2,1,4
105,Joker Lap,4,2024-01-24,,2.0,,0.0,,0.0,,0.0,2,1,4
106,Quick 8,8,2024-01-24,,6.0,,5.0,,0.0,,0.0,2,1,4
107,Pole Position,20,2024-01-24,,19.0,,18.0,,13.0,,0.0,2,1,4
108,Cockpit,10,2024-01-24,,5.0,,8.0,,10.0,,7.0,2,1,4
109,Pit-Lane,4,2024-01-25,,2.0,,0.0,,0.0,,4.0,3,1,4
110,Dry-lane,4,2024-01-25,,4.0,,0.0,,3.0,,4.0,3,1,4
111,Joker Lap,4,2024-01-25,,0.0,,3.0,,3.0,,4.0,3,1,4
112,Quick 8,8,2024-01-25,,0.0,,0.0,,0.0,,0.0,3,1,4
113,Pole Position,20,2024-01-25,,11.0,,10.0,,0.0,,13.0,3,1,4
114,Cockpit,10,2024-01-25,,6.0,,0.0,,7.0,,0.0,3,1,4
115,Pit-Lane,4,2024-01-26,,0.0,,0.0,,2.0,,4.0,4,1,4
116,Dry-lane,4,2024-01-26,,0.0,,0.0,,0.0,,3.0,4,1,4
117,Joker Lap,4,2024-01-26,,2.0,,0.0,,0.0,,3.0,4,1,4
118,Quick 8,8,2024-01-26,,0.0,,7.0,,0.0,,8.0,4,1,4
119,Pole Position,20,2024-01-26,,0.0,,0.0,,0.0,,15.0,4,1,4
120,Cockpit,10,2024-01-26,,0.0,,8.0,,10.0,,0.0,4,1,4
121,Pit-Lane,4,2024-01-29,,0.0,,4.0,,2.0,,4.0,0,1,5
122,Dry-lane,4,2024-01-29,,0.0,,3.0,,3.0,,0.0,0,1,5
123,Joker Lap,4,2024-01-29,,0.0,,3.0,,3.0,,2.0,0,1,5
124,Quick 8,8,2024-01-29,,0.0,,6.0,,6.0,,0.0,0,1,5
125,Pole Position,20,2024-01-29,,0.0,,12.0,,12.0,,0.0,0,1,5
126,Cockpit,10,2024-01-29,,0.0,,7.0,,0.0,,0.0,0,1,5
127,Pit-Lane,4,2024-01-30,,2.0,,0.0,,0.0,,3.0,1,1,5
128,Dry-lane,4,2024-01-30,,3.0,,0.0,,0.0,,0.0,1,1,5
129,Joker Lap,4,2024-01-30,,2.0,,2.0,,2.0,,0.0,1,1,5
130,Quick 8,8,2024-01-30,,5.0,,0.0,,0.0,,0.0,1,1,5
131,Pole Position,20,2024-01-30,,17.0,,0.0,,0.0,,13.0,1,1,5
132,Cockpit,10,2024-01-30,,9.0,,7.0,,6.0,,0.0,1,1,5
133,Pit-Lane,4,2024-01-31,,3.0,,0.0,,0.0,,3.0,2,1,5
134,Dry-lane,4,2024-01-31,,3.0,,3.0,,3.0,,0.0,2,1,5
135,Joker Lap,4,2024-01-31,,3.0,,2.0,,0.0,,4.0,2,1,5
136,Quick 8,8,2024-01-31,,5.0,,4.0,,0.0,,0.0,2,1,5
137,Pole Position,20,2024-01-31,,10.0,,0.0,,0.0,,16.0,2,1,5
138,Cockpit,10,2024-01-31,,0.0,,0.0,,0.0,,0.0,2,1,5
139,Pit-Lane,4,2024-02-01,,0.0,,3.0,,0.0,,0.0,3,2,5
140,Dry-lane,4,2024-02-01,,2.0,,0.0,,0.0,,2.0,3,2,5
141,Joker Lap,4,2024-02-01,,0.0,,2.0,,3.0,,2.0,3,2,5
142,Quick 8,8,2024-02-01,,0.0,,7.0,,8.0,,0.0,3,2,5
143,Pole Position,20,2024-02-01,,0.0,,0.0,,0.0,,0.0,3,2,5
144,Cockpit,10,2024-02-01,,7.0,,5.0,,0.0,,7.0,3,2,5
145,Pit-Lane,4,2024-02-02,,0.0,,4.0,,0.0,,0.0,4,2,5
146,Dry-lane,4,2024-02-02,,3.0,,4.0,,0.0,,2.0,4,2,5
147,Joker Lap,4,2024-02-02,,4.0,,0.0,,2.0,,0.0,4,2,5
148,Quick 8,8,2024-02-02,,8.0,,0.0,,0.0,,7.0,4,2,5
149,Pole Position,20,2024-02-02,,0.0,,0.0,,10.0,,19.0,4,2,5
150,Cockpit,10,2024-02-02,,0.0,,0.0,,0.0,,10.0,4,2,5
151,Pit-Lane,4,2024-02-05,,3.0,,3.0,,2.0,,3.0,0,2,6
152,Dry-lane,4,2024-02-05,,3.0,,3.0,,4.0,,0.0,0,2,6
153,Joker Lap,4,2024-02-05,,0.0,,4.0,,0.0,,0.0,0,2,6
154,Quick 8,8,2024-02-05,,6.0,,0.0,,0.0,,6.0,0,2,6
155,Pole Position,20,2024-02-05,,12.0,,19.0,,12.0,,0.0,0,2,6
156,Cockpit,10,2024-02-05,,0.0,,5.0,,0.0,,6.0,0,2,6
157,Pit-Lane,4,2024-02-06,,0.0,,3.0,,3.0,,0.0,1,2,6
158,Dry-lane,4,2024-02-06,,4.0,,0.0,,2.0,,3.0,1,2,6
159,Joker Lap,4,2024-02-06,,2.0,,0.0,,2.0,,0.0,1,2,6
160,Quick 8,8,2024-02-06,,0.0,,0.0,,0.0,,6.0,1,2,6
161,Pole Position,20,2024-02-06,,19.0,,0.0,,0.0,,0.0,1,2,6
162,Cockpit,10,2024-02-06,,7.0,,0.0,,0.0,,10.0,1,2,6
163,Pit-Lane,4,2024-02-07,,0.0,,2.0,,2.0,,0.0,2,2,6
164,Dry-lane,4,2024-02-07,,3.0,,0.0,,3.0,,0.0,2,2,6
165,Joker Lap,4,2024-02-07,,2.0,,4.0,,2.0,,2.0,2,2,6
166,Quick 8,8,2024-02-07,,0.0,,0.0,,0.0,,5.0,2,2,6
167,Pole Position,20,2024-02-07,,0.0,,16.0,,0.0,,0.0,2,2,6
168,Cockpit,10,2024-02-07,,0.0,,5.0,,9.0,,6.0,2,2,6
169,Pit-Lane,4,2024-02-08,,0.0,,0.0,,0.0,,0.0,3,2,6
170,Dry-lane,4,2024-02-08,,2.0,,0.0,,3.0,,3.0,3,2,6
171,Joker Lap,4,2024-02-08,,4.0,,0.0,,4.0,,3.0,3,2,6
172,Quick 8,8,2024-02-08,,5.0,,0.0,,8.0,,8.0,3,2,6
173,Pole Position,20,2024-02-08,,0.0,,14.0,,0.0,,0.0,3,2,6
174,Cockpit,10,2024-02-08,,0.0,,0.0,,5.0,,5.0,3,2,6
175,Pit-Lane,4,2024-02-09,,2.0,,0.0,,3.0,,3.0,4,2,6
176,Dry-lane,4,2024-02-09,,0.0,,0.0,,2.0,,3.0,4,2,6
177,Joker Lap,4,2024-02-09,,2.0,,0.0,,0.0,,0.0,4,2,6
178,Quick 8,8,2024-02-09,,6.0,,8.0,,0.0,,0.0,4,2,6
179,Pole Position,20,2024-02-09,,14.0,,15.0,,0.0,,15.0,4,2,6
180,Cockpit,10,2024-02-09,,10.0,,6.0,,8.0,,6.0,4,2,6
181,Pit-Lane,4,2024-02-12,,0.0,,3.0,,2.0,,0.0,0,2,7
182,Dry-lane,4,2024-02-12,,3.0,,0.0,,3.0,,0.0,0,2,7
183,Joker Lap,4,2024-02-12,,0.0,,4.0,,3.0,,0.0,0,2,7
184,Quick 8,8,2024-02-12,,8.0,,8.0,,0.0,,7.0,0,2,7
185,Pole Position,20,2024-02-12,,12.0,,13.0,,0.0,,0.0,0,2,7
186,Cockpit,10,2024-02-12,,10.0,,0.0,,8.0,,5.0,0,2,7
187,Pit-Lane,4,2024-02-13,,0.0,,0.0,,0.0,,0.0,1,2,7
188,Dry-lane,4,2024-02-13,,3.0,,3.0,,0.0,,0.0,1,2,7
189,Joker Lap,4,2024-02-13,,0.0,,4.0,,2.0,,0.0,1,2,7
190,Quick 8,8,2024-02-13,,6.0,,6.0,,0.0,,6.0,1,2,7
191,Pole Position,20,2024-02-13,,0.0,,0.0,,17.0,,16.0,1,2,7
192,Cockpit,10,2024-02-13,,0.0,,0.0,,6.0,,0.0,1,2,7
193,Pit-Lane,4,2024-02-14,,3.0,,2.0,,3.0,,3.0,2,2,7
194,Dry-lane,4,2024-02-14,,0.0,,2.0,,0.0,,4.0,2,2,7
195,Joker Lap,4,2024-02-14,,4.0,,2.0,,2.0,,0.0,2,2,7
196,Quick 8,8,2024-02-14,,0.0,,6.0,,6.0,,5.0,2,2,7
197,Pole Position,20,2024-02-14,,17.0,,11.0,,0.0,,13.0,2,2,7
198,Cockpit,10,2024-02-14,,0.0,,9.0,,6.0,,0.0,2,2,7
199,Pit-Lane,4,2024-02-15,,3.0,,0.0,,3.0,,0.0,3,2,7
200,Dry-lane,4,2024-02-15,,2.0,,0.0,,2.0,,0.0,3,2,7
201,Joker Lap,4,2024-02-15,,0.0,,0.0,,4.0,,0.0,3,2,7
202,Quick 8,8,2024-02-15,,0.0,,0.0,,7.0,,0.0,3,2,7
203,Pole Position,20,2024-02-15,,0.0,,0.0,,19.0,,0.0,3,2,7
204,Cockpit,10,2024-02-15,,7.0,,0.0,,0.0,,0.0,3,2,7
205,Pit-Lane,4,2024-02-16,,3.0,,3.0,,0.0,,3.0,4,2,7
206,Dry-lane,4,2024-02-16,,3.0,,0.0,,4.0,,0.0,4,2,7
207,Joker Lap,4,2024-02-16,,3.0,,0.0,,3.0,,0.0,4,2,7
208,Quick 8,8,2024-02-16,,7.0,,0.0,,4.0,,8.0,4,2,7
209,Pole Position,20,2024-02-16,,14.0,,0.0,,10.0,,0.0,4,2,7
210,Cockpit,10,2024-02-16,,0.0,,0.0,,0.0,,0.0,4,2,7
211,Pit-Lane,4,2024-02-19,,0.0,,0.0,,2.0,,3.0,0,2,8
212,Dry-lane,4,2024-02-19,,0.0,,0.0,,4.0,,0.0,0,2,8
213,Joker Lap,4,2024-02-19,,0.0,,0.0,,2.0,,2.0,0,2,8
214,Quick 8,8,2024-02-19,,0.0,,0.0,,8.0,,0.0,0,2,8
215,Pole Position,20,2024-02-19,,0.0,,0.0,,15.0,,0.0,0,2,8
216,Cockpit,10,2024-02-19,,5.0,,0.0,,10.0,,7.0,0,2,8
217,Pit-Lane,4,2024-02-20,,2.0,,0.0,,3.0,,3.0,1,2,8
218,Dry-lane,4,2024-02-20,,3.0,,4.0,,0.0,,4.0,1,2,8
219,Joker Lap,4,2024-02-20,,0.0,,2.0,,3.0,,2.0,1,2,8
220,Quick 8,8,2024-02-20,,5.0,,8.0,,0.0,,0.0,1,2,8
221,Pole Position,20,2024-02-20,,16.0,,0.0,,17.0,,14.0,1,2,8
222,Cockpit,10,2024-02-20,,5.0,,0.0,,7.0,,5.0,1,2,8
223,Pit-Lane,4,2024-02-21,,0.0,,2.0,,2.0,,0.0,2,2,8
224,Dry-lane,4,2024-02-21,,4.0,,2.0,,0.0,,0.0,2,2,8
225,Joker Lap,4,2024-02-21,,0.0,,0.0,,2.0,,0.0,2,2,8
226,Quick 8,8,2024-02-21,,8.0,,0.0,,0.0,,0.0,2,2,8
227,Pole Position,20,2024-02-21,,0.0,,0.0,,17.0,,0.0,2,2,8
228,Cockpit,10,2024-02-21,,0.0,,9.0,,0.0,,0.0,2,2,8
229,Pit-Lane,4,2024-02-22,,0.0,,0.0,,3.0,,0.0,3,2,8
230,Dry-lane,4,2024-02-22,,0.0,,0.0,,0.0,,0.0,3,2,8
231,Joker Lap,4,2024-02-22,,0.0,,3.0,,2.0,,3.0,3,2,8
232,Quick 8,8,2024-02-22,,0.0,,0.0,,0.0,,5.0,3,2,8
233,Pole Position,20,2024-02-22,,0.0,,14.0,,10.0,,0.0,3,2,8
234,Cockpit,10,2024-02-22,,0.0,,0.0,,7.0,,0.0,3,2,8
235,Pit-Lane,4,2024-02-23,,0.0,,3.0,,0.0,,4.0,4,2,8
236,Dry-lane,4,2024-02-23,,0.0,,0.0,,3.0,,3.0,4,2,8
237,Joker Lap,4,2024-02-23,,3.0,,3.0,,2.0,,0.0,4,2,8
238,Quick 8,8,2024-02-23,,0.0,,4.0,,0.0,,6.0,4,2,8
239,Pole Position,20,2024-02-23,,13.0,,16.0,,11.0,,12.0,4,2,8
240,Cockpit,10,2024-02-23,,0.0,,0.0,,0.0,,9.0,4,2,8
241,Pit-Lane,4,2024-02-26,,2.0,,0.0,,0.0,,3.0,0,2,9
242,Dry-lane,4,2024-02-26,,2.0,,0.0,,0.0,,2.0,0,2,9
243,Joker Lap,4,2024-02-26,,0.0,,2.0,,0.0,,3.0,0,2,9
244,Quick 8,8,2024-02-26,,0.0,,0.0,,0.0,,0.0,0,2,9
245,Pole Position,20,2024-02-26,,19.0,,0.0,,0.0,,0.0,0,2,9
246,Cockpit,10,2024-02-26,,0.0,,0.0,,0.0,,7.0,0,2,9
247,Pit-Lane,4,2024-02-27,,0.0,,0.0,,0.0,,0.0,1,2,9
248,Dry-lane,4,2024-02-27,,3.0,,0.0,,0.0,,0.0,1,2,9
249,Joker Lap,4,2024-02-27,,0.0,,4.0,,3.0,,3.0,1,2,9
250,Quick 8,8,2024-02-27,,4.0,,4.0,,0.0,,0.0,1,2,9
251,Pole Position,20,2024-02-27,,15.0,,17.0,,0.0,,12.0,1,2,9
252,Cockpit,10,2024-02-27,,0.0,,0.0,,7.0,,10.0,1,2,9
253,Pit-Lane,4,2024-02-28,,4.0,,0.0,,0.0,,0.0,2,2,9
254,Dry-lane,4,2024-02-28,,4.0,,0.0,,0.0,,3.0,2,2,9
255,Joker Lap,4,2024-02-28,,4.0,,2.0,,2.0,,4.0,2,2,9
256,Quick 8,8,2024-02-28,,0.0,,0.0,,6.0,,8.0,2,2,9
257,Pole Position,20,2024-02-28,,0.0,,10.0,,0.0,,0.0,2,2,9
258,Cockpit,10,2024-02-28,,0.0,,0.0,,6.0,,10.0,2,2,9
259,Pit-Lane,4,2024-02-29,,3.0,,0.0,,0.0,,3.0,3,2,9
260,Dry-lane,4,2024-02-29,,4.0,,0.0,,3.0,,4.0,3,2,9
261,Joker Lap,4,2024-02-29,,3.0,,0.0,,3.0,,0.0,3,2,9
262,Quick 8,8,2024-02-29,,0.0,,0.0,,0.0,,0.0,3,2,9
263,Pole Position,20,2024-02-29,,0.0,,16.0,,13.0,,0.0,3,2,9
264,Cockpit,10,2024-02-29,,0.0,,0.0,,0.0,,9.0,3,2,9
265,Pit-Lane,4,2024-03-01,,3.0,,3.0,,3.0,,0.0,4,3,9
266,Dry-lane,4,2024-03-01,,2.0,,4.0,,0.0,,4.0,4,3,9
267,Joker Lap,4,2024-03-01,,0.0,,2.0,,0.0,,3.0,4,3,9
268,Quick 8,8,2024-03-01,,0.0,,5.0,,0.0,,6.0,4,3,9
269,Pole Position,20,2024-03-01,,15.0,,0.0,,12.0,,0.0,4,3,9
270,Cockpit,10,2024-03-01,,9.0,,9.0,,5.0,,8.0,4,3,9
271,Pit-Lane,4,2024-03-04,,0.0,,2.0,,0.0,,0.0,0,3,10
272,Dry-lane,4,2024-03-04,,0.0,,0.0,,0.0,,0.0,0,3,10
273,Joker Lap,4,2024-03-04,,3.0,,3.0,,4.0,,0.0,0,3,10
274,Quick 8,8,2024-03-04,,5.0,,0.0,,4.0,,4.0,0,3,10
275,Pole Position,20,2024-03-04,,0.0,,0.0,,0.0,,13.0,0,3,10
276,Cockpit,10,2024-03-04,,0.0,,10.0,,8.0,,9.0,0,3,10
277,Pit-Lane,4,2024-03-05,,0.0,,2.0,,0.0,,0.0,1,3,10
278,Dry-lane,4,2024-03-05,,3.0,,0.0,,3.0,,0.0,1,3,10
279,Joker Lap,4,2024-03-05,,0.0,,0.0,,3.0,,0.0,1,3,10
280,Quick 8,8,2024-03-05,,0.0,,7.0,,0.0,,0.0,1,3,10
281,Pole Position,20,2024-03-05,,19.0,,0.0,,0.0,,0.0,1,3,10
282,Cockpit,10,2024-03-05,,0.0,,6.0,,9.0,,6.0,1,3,10
283,Pit-Lane,4,2024-03-06,,3.0,,0.0,,2.0,,0.0,2,3,10
284,Dry-lane,4,2024-03-06,,3.0,,2.0,,4.0,,0.0,2,3,10
285,Joker Lap,4,2024-03-06,,4.0,,3.0,,0.0,,0.0,2,3,10
286,Quick 8,8,2024-03-06,,7.0,,0.0,,8.0,,0.0,2,3,10
287,Pole Position,20,2024-03-06,,17.0,,17.0,,17.0,,18.0,2,3,10
288,Cockpit,10,2024-03-06,,10.0,,5.0,,8.0,,0.0,2,3,10
289,Pit-Lane,4,2024-03-07,,0.0,,4.0,,0.0,,0.0,3,3,10
290,Dry-lane,4,2024-03-07,,3.0,,3.0,,0.0,,0.0,3,3,10
291,Joker Lap,4,2024-03-07,,0.0,,4.0,,0.0,,0.0,3,3,10
292,Quick 8,8,2024-03-07,,0.0,,0.0,,0.0,,4.0,3,3,10
293,Pole Position,20,2024-03-07,,0.0,,17.0,,0.0,,13.0,3,3,10
294,Cockpit,10,2024-03-07,,0.0,,10.0,,7.0,,0.0,3,3,10
295,Pit-Lane,4,2024-03-08,,3.0,,3.0,,0.0,,4.0,4,3,10
296,Dry-lane,4,2024-03-08,,4.0,,4.0,,0.0,,0.0,4,3,10
297,Joker Lap,4,2024-03-08,,0.0,,3.0,,3.0,,0.0,4,3,10
298,Quick 8,8,2024-03-08,,0.0,,8.0,,0.0,,0.0,4,3,10
299,Pole Position,20,2024-03-08,,0.0,,0.0,,0.0,,14.0,4,3,10
300,Cockpit,10,2024-03-08,,0.0,,6.0,,0.0,,5.0,4,3,10
301,Pit-Lane,4,2024-03-11,,0.0,,2.0,,0.0,,4.0,0,3,11
302,Dry-lane,4,2024-03-11,,0.0,,0.0,,0.0,,4.0,0,3,11
303,Joker Lap,4,2024-03-11,,0.0,,2.0,,0.0,,2.0,0,3,11
304,Quick 8,8,2024-03-11,,7.0,,5.0,,0.0,,6.0,0,3,11
305,Pole Position,20,2024-03-11,,0.0,,18.0,,0.0,,12.0,0,3,11
306,Cockpit,10,2024-03-11,,7.0,,7.0,,0.0,,6.0,0,3,11
307,Pit-Lane,4,2024-03-12,,0.0,,0.0,,3.0,,4.0,1,3,11
308,Dry-lane,4,2024-03-12,,4.0,,2.0,,0.0,,0.0,1,3,11
309,Joker Lap,4,2024-03-12,,0.0,,4.0,,0.0,,3.0,1,3,11
310,Quick 8,8,2024-03-12,,7.0,,0.0,,8.0,,5.0,1,3,11
311,Pole Position,20,2024-03-12,,0.0,,11.0,,0.0,,0.0,1,3,11
312,Cockpit,10,2024-03-12,,0.0,,6.0,,9.0,,0.0,1,3,11
313,Pit-Lane,4,2024-03-13,,3.0,,3.0,,0.0,,0.0,2,3,11
314,Dry-lane,4,2024-03-13,,0.0,,3.0,,3.0,,4.0,2,3,11
315,Joker Lap,4,2024-03-13,,0.0,,2.0,,3.0,,4.0,2,3,11
316,Quick 8,8,2024-03-13,,7.0,,0.0,,7.0,,0.0,2,3,11
