row,desk,date,firstHalf,secondHalf,day_of_week,day_of_month,month,week_of_year
57,CLUJ_5_beta_15.1,2024-01-01,1,1,0,1,1,1
58,CLUJ_5_beta_15.2,2024-01-01,0,0,0,1,1,1
59,CLUJ_5_beta_15.3,2024-01-01,0,0,0,1,1,1
60,CLUJ_5_beta_15.4,2024-01-01,1,1,0,1,1,1
61,CLUJ_5_beta_16.1,2024-01-01,0,0,0,1,1,1
62,CLUJ_5_beta_16.2,2024-01-01,0,0,0,1,1,1
63,CLUJ_5_beta_16.3,2024-01-01,1,0,0,1,1,1
64,CLUJ_5_beta_16.4,2024-01-01,1,0,0,1,1,1
65,CLUJ_5_beta_17.1,2024-01-01,0,1,0,1,1,1
66,CLUJ_5_beta_17.2,2024-01-01,0,0,0,1,1,1
67,CLUJ_5_beta_17.3,2024-01-01,0,1,0,1,1,1
68,CLUJ_5_beta_17.4,2024-01-01,1,1,0,1,1,1
69,CLUJ_5_beta_18.1,2024-01-01,1,1,0,1,1,1
70,CLUJ_5_beta_18.2,2024-01-01,0,0,0,1,1,1
71,CLUJ_5_beta_18.3,2024-01-01,0,1,0,1,1,1
72,CLUJ_5_beta_18.4,2024-01-01,0,0,0,1,1,1
73,CLUJ_5_beta_18.5,2024-01-01,1,0,0,1,1,1
74,CLUJ_5_beta_19.1,2024-01-01,1,0,0,1,1,1
75,CLUJ_5_beta_19.2,2024-01-01,0,1,0,1,1,1
76,CLUJ_5_beta_19.3,2024-01-01,1,0,0,1,1,1
77,CLUJ_5_beta_19.4,2024-01-01,1,0,0,1,1,1
78,CLUJ_5_beta_19.5,2024-01-01,1,1,0,1,1,1
79,CLUJ_5_beta_19.6,2024-01-01,1,0,0,1,1,1
80,CLUJ_5_beta_20.1,2024-01-01,0,0,0,1,1,1
81,CLUJ_5_beta_20.2,2024-01-01,0,0,0,1,1,1
82,CLUJ_5_beta_20.3,2024-01-01,1,1,0,1,1,1
83,CLUJ_5_beta_20.4,2024-01-01,0,1,0,1,1,1
84,CLUJ_5_beta_21.1,2024-01-01,1,0,0,1,1,1
85,CLUJ_5_beta_21.2,2024-01-01,0,1,0,1,1,1
86,CLUJ_5_beta_21.3,2024-01-01,0,0,0,1,1,1
87,CLUJ_5_beta_21.4,2024-01-01,1,1,0,1,1,1
88,CLUJ_5_beta_22.1,2024-01-01,1,1,0,1,1,1
89,CLUJ_5_beta_22.2,2024-01-01,0,0,0,1,1,1
90,CLUJ_5_beta_22.3,2024-01-01,1,0,0,1,1,1
91,CLUJ_5_beta_22.4,2024-01-01,1,1,0,1,1,1
92,CLUJ_5_beta_23.1,2024-01-01,0,1,0,1,1,1
93,CLUJ_5_beta_23.2,2024-01-01,1,0,0,1,1,1
94,CLUJ_5_beta_23.3,2024-01-01,0,0,0,1,1,1
95,CLUJ_5_beta_23.4,2024-01-01,1,0,0,1,1,1
96,CLUJ_5_beta_24.1,2024-01-01,0,1,0,1,1,1
97,CLUJ_5_beta_24.2,2024-01-01,0,1,0,1,1,1
98,CLUJ_5_beta_24.3,2024-01-01,1,0,0,1,1,1
99,CLUJ_5_beta_24.4,2024-01-01,0,0,0,1,1,1
100,CLUJ_5_beta_25.1,2024-01-01,1,0,0,1,1,1
101,CLUJ_5_beta_25.2,2024-01-01,1,1,0,1,1,1
102,CLUJ_5_beta_25.3,2024-01-01,0,0,0,1,1,1
103,CLUJ_5_beta_25.4,2024-01-01,0,1,0,1,1,1
104,CLUJ_5_beta_26.1,2024-01-01,1,0,0,1,1,1
105,CLUJ_5_beta_26.2,2024-01-01,0,1,0,1,1,1
106,CLUJ_5_beta_26.3,2024-01-01,1,0,0,1,1,1
107,CLUJ_5_beta_26.4,2024-01-01,0,0,0,1,1,1
108,CLUJ_5_beta_27.1,2024-01-01,1,1,0,1,1,1
109,CLUJ_5_beta_27.2,2024-01-01,0,0,0,1,1,1
110,CLUJ_5_beta_27.3,2024-01-01,1,0,0,1,1,1
111,CLUJ_5_beta_27.4,2024-01-01,1,0,0,1,1,1
112,CLUJ_5_beta_28.1,2024-01-01,1,0,0,1,1,1
113,CLUJ_5_beta_28.2,2024-01-01,1,0,0,1,1,1
114,CLUJ_5_beta_28.3,2024-01-01,0,0,0,1,1,1
115,CLUJ_5_beta_28.4,2024-01-01,0,0,0,1,1,1
116,CLUJ_5_beta_29.1,2024-01-01,1,1,0,1,1,1
117,CLUJ_5_beta_29.2,2024-01-01,1,0,0,1,1,1
118,CLUJ_5_beta_29.3,2024-01-01,1,0,0,1,1,1
119,CLUJ_5_beta_29.4,2024-01-01,1,0,0,1,1,1
120,CLUJ_5_beta_30.1,2024-01-01,1,1,0,1,1,1
121,CLUJ_5_beta_30.2,2024-01-01,0,1,0,1,1,1
122,CLUJ_5_beta_30.3,2024-01-01,0,1,0,1,1,1
123,CLUJ_5_beta_30.4,2024-01-01,1,1,0,1,1,1
124,CLUJ_5_beta_31.1,2024-01-01,1,0,0,1,1,1
125,CLUJ_5_beta_31.2,2024-01-01,0,0,0,1,1,1
126,CLUJ_5_beta_31.3,2024-01-01,1,1,0,1,1,1
127,CLUJ_5_beta_31.4,2024-01-01,0,0,0,1,1,1
128,CLUJ_5_beta_32.1,2024-01-01,1,0,0,1,1,1
129,CLUJ_5_beta_32.2,2024-01-01,0,1,0,1,1,1
130,CLUJ_5_beta_32.3,2024-01-01,1,0,0,1,1,1
131,CLUJ_5_beta_32.4,2024-01-01,1,0,0,1,1,1
132,CLUJ_5_beta_33.1,2024-01-01,0,0,0,1,1,1
133,CLUJ_5_beta_33.2,2024-01-01,0,0,0,1,1,1
134,CLUJ_5_beta_33.3,2024-01-01,1,1,0,1,1,1
135,CLUJ_5_beta_33.4,2024-01-01,1,1,0,1,1,1
136,CLUJ_5_beta_1.1,2024-01-02,0,0,1,2,1,1
137,CLUJ_5_beta_1.2,2024-01-02,1,1,1,2,1,1
138,CLUJ_5_beta_1.3,2024-01-02,1,0,1,2,1,1
139,CLUJ_5_beta_1.4,2024-01-02,1,0,1,2,1,1
140,CLUJ_5_beta_2.1,2024-01-02,1,0,1,2,1,1
141,CLUJ_5_beta_2.2,2024-01-02,0,1,1,2,1,1
142,CLUJ_5_beta_2.3,2024-01-02,0,0,1,2,1,1
143,CLUJ_5_beta_2.4,2024-01-02,0,0,1,2,1,1
144,CLUJ_5_beta_3.1,2024-01-02,0,0,1,2,1,1
145,CLUJ_5_beta_3.2,2024-01-02,0,1,1,2,1,1
146,CLUJ_5_beta_3.3,2024-01-02,0,1,1,2,1,1
147,CLUJ_5_beta_3.4,2024-01-02,1,0,1,2,1,1
148,CLUJ_5_beta_4.1,2024-01-02,1,0,1,2,1,1
149,CLUJ_5_beta_4.2,2024-01-02,1,1,1,2,1,1
150,CLUJ_5_beta_4.3,2024-01-02,0,1,1,2,1,1
151,CLUJ_5_beta_4.4,2024-01-02,1,0,1,2,1,1
152,CLUJ_5_beta_5.1,2024-01-02,1,0,1,2,1,1
153,CLUJ_5_beta_5.2,2024-01-02,0,0,1,2,1,1
154,CLUJ_5_beta_5.3,2024-01-02,0,1,1,2,1,1
155,CLUJ_5_beta_5.4,2024-01-02,1,0,1,2,1,1
156,CLUJ_5_beta_6.1,2024-01-02,1,0,1,2,1,1
157,CLUJ_5_beta_6.2,2024-01-02,1,0,1,2,1,1
158,CLUJ_5_beta_6.3,2024-01-02,1,0,1,2,1,1
159,CLUJ_5_beta_6.4,2024-01-02,0,1,1,2,1,1
160,CLUJ_5_beta_7.1,2024-01-02,0,1,1,2,1,1
161,CLUJ_5_beta_7.2,2024-01-02,0,1,1,2,1,1
162,CLUJ_5_beta_7.3,2024-01-02,0,1,1,2,1,1
163,CLUJ_5_beta_7.4,2024-01-02,0,0,1,2,1,1
164,CLUJ_5_beta_8.1,2024-01-02,1,0,1,2,1,1
165,CLUJ_5_beta_8.2,2024-01-02,1,1,1,2,1,1
166,CLUJ_5_beta_8.3,2024-01-02,0,0,1,2,1,1
167,CLUJ_5_beta_8.4,2024-01-02,1,1,1,2,1,1
168,CLUJ_5_beta_9.1,2024-01-02,1,0,1,2,1,1
169,CLUJ_5_beta_9.2,2024-01-02,0,0,1,2,1,1
170,CLUJ_5_beta_9.3,2024-01-02,0,0,1,2,1,1
171,CLUJ_5_beta_9.4,2024-01-02,1,0,1,2,1,1
172,CLUJ_5_beta_10.1,2024-01-02,0,1,1,2,1,1
173,CLUJ_5_beta_10.2,2024-01-02,0,1,1,2,1,1
174,CLUJ_5_beta_10.3,2024-01-02,0,1,1,2,1,1
175,CLUJ_5_beta_10.4,2024-01-02,1,1,1,2,1,1
176,CLUJ_5_beta_11.1,2024-01-02,0,1,1,2,1,1
177,CLUJ_5_beta_11.2,2024-01-02,1,1,1,2,1,1
178,CLUJ_5_beta_11.3,2024-01-02,0,0,1,2,1,1
179,CLUJ_5_beta_11.4,2024-01-02,1,0,1,2,1,1
180,CLUJ_5_beta_12.1,2024-01-02,0,1,1,2,1,1
181,CLUJ_5_beta_12.2,2024-01-02,1,0,1,2,1,1
182,CLUJ_5_beta_12.3,2024-01-02,1,1,1,2,1,1
183,CLUJ_5_beta_12.4,2024-01-02,0,1,1,2,1,1
184,CLUJ_5_beta_13.1,2024-01-02,1,0,1,2,1,1
185,CLUJ_5_beta_13.2,2024-01-02,0,0,1,2,1,1
186,CLUJ_5_beta_13.3,2024-01-02,0,1,1,2,1,1
187,CLUJ_5_beta_13.4,2024-01-02,0,1,1,2,1,1
188,CLUJ_5_beta_14.1,2024-01-02,1,0,1,2,1,1
189,CLUJ_5_beta_14.2,2024-01-02,0,1,1,2,1,1
190,CLUJ_5_beta_14.3,2024-01-02,0,1,1,2,1,1
191,CLUJ_5_beta_14.4,2024-01-02,0,0,1,2,1,1
192,CLUJ_5_beta_15.1,2024-01-02,1,0,1,2,1,1
193,CLUJ_5_beta_15.2,2024-01-02,0,0,1,2,1,1
194,CLUJ_5_beta_15.3,2024-01-02,1,1,1,2,1,1
195,CLUJ_5_beta_15.4,2024-01-02,1,1,1,2,1,1
196,CLUJ_5_beta_16.1,2024-01-02,1,0,1,2,1,1
197,CLUJ_5_beta_16.2,2024-01-02,1,1,1,2,1,1
198,CLUJ_5_beta_16.3,2024-01-02,1,1,1,2,1,1
199,CLUJ_5_beta_16.4,2024-01-02,0,1,1,2,1,1
200,CLUJ_5_beta_17.1,2024-01-02,0,1,1,2,1,1
201,CLUJ_5_beta_17.2,2024-01-02,1,0,1,2,1,1
202,CLUJ_5_beta_17.3,2024-01-02,0,1,1,2,1,1
203,CLUJ_5_beta_17.4,2024-01-02,0,1,1,2,1,1
204,CLUJ_5_beta_18.1,2024-01-02,0,1,1,2,1,1
205,CLUJ_5_beta_18.2,2024-01-02,0,0,1,2,1,1
206,CLUJ_5_beta_18.3,2024-01-02,1,0,1,2,1,1
207,CLUJ_5_beta_18.4,2024-01-02,1,0,1,2,1,1
208,CLUJ_5_beta_18.5,2024-01-02,0,1,1,2,1,1
209,CLUJ_5_beta_19.1,2024-01-02,1,1,1,2,1,1
210,CLUJ_5_beta_19.2,2024-01-02,0,0,1,2,1,1
211,CLUJ_5_beta_19.3,2024-01-02,1,1,1,2,1,1
212,CLUJ_5_beta_19.4,2024-01-02,0,1,1,2,1,1
213,CLUJ_5_beta_19.5,2024-01-02,0,0,1,2,1,1
214,CLUJ_5_beta_19.6,2024-01-02,1,0,1,2,1,1
215,CLUJ_5_beta_20.1,2024-01-02,0,0,1,2,1,1
216,CLUJ_5_beta_20.2,2024-01-02,1,0,1,2,1,1
217,CLUJ_5_beta_20.3,2024-01-02,1,0,1,2,1,1
218,CLUJ_5_beta_20.4,2024-01-02,0,1,1,2,1,1
219,CLUJ_5_beta_21.1,2024-01-02,1,0,1,2,1,1
220,CLUJ_5_beta_21.2,2024-01-02,0,1,1,2,1,1
221,CLUJ_5_beta_21.3,2024-01-02,1,1,1,2,1,1
222,CLUJ_5_beta_21.4,2024-01-02,1,1,1,2,1,1
223,CLUJ_5_beta_22.1,2024-01-02,0,0,1,2,1,1
224,CLUJ_5_beta_22.2,2024-01-02,0,1,1,2,1,1
225,CLUJ_5_beta_22.3,2024-01-02,0,1,1,2,1,1
226,CLUJ_5_beta_22.4,2024-01-02,0,0,1,2,1,1
227,CLUJ_5_beta_23.1,2024-01-02,0,1,1,2,1,1
228,CLUJ_5_beta_23.2,2024-01-02,1,1,1,2,1,1
229,CLUJ_5_beta_23.3,2024-01-02,0,0,1,2,1,1
230,CLUJ_5_beta_23.4,2024-01-02,0,1,1,2,1,1
231,CLUJ_5_beta_24.1,2024-01-02,0,0,1,2,1,1
232,CLUJ_5_beta_24.2,2024-01-02,0,1,1,2,1,1
233,CLUJ_5_beta_24.3,2024-01-02,0,1,1,2,1,1
234,CLUJ_5_beta_24.4,2024-01-02,0,0,1,2,1,1
235,CLUJ_5_beta_25.1,2024-01-02,1,1,1,2,1,1
236,CLUJ_5_beta_25.2,2024-01-02,0,1,1,2,1,1
237,CLUJ_5_beta_25.3,2024-01-02,1,0,1,2,1,1
238,CLUJ_5_beta_25.4,2024-01-02,0,1,1,2,1,1
239,CLUJ_5_beta_26.1,2024-01-02,1,0,1,2,1,1
240,CLUJ_5_beta_26.2,2024-01-02,0,0,1,2,1,1
241,CLUJ_5_beta_26.3,2024-01-02,0,1,1,2,1,1
242,CLUJ_5_beta_26.4,2024-01-02,1,1,1,2,1,1
243,CLUJ_5_beta_27.1,2024-01-02,0,0,1,2,1,1
244,CLUJ_5_beta_27.2,2024-01-02,0,1,1,2,1,1
245,CLUJ_5_beta_27.3,2024-01-02,1,0,1,2,1,1
246,CLUJ_5_beta_27.4,2024-01-02,0,0,1,2,1,1
247,CLUJ_5_beta_28.1,2024-01-02,0,1,1,2,1,1
248,CLUJ_5_beta_28.2,2024-01-02,1,1,1,2,1,1
249,CLUJ_5_beta_28.3,2024-01-02,0,1,1,2,1,1
250,CLUJ_5_beta_28.4,2024-01-02,1,0,1,2,1,1
251,CLUJ_5_beta_29.1,2024-01-02,0,0,1,2,1,1
252,CLUJ_5_beta_29.2,2024-01-02,0,0,1,2,1,1
253,CLUJ_5_beta_29.3,2024-01-02,0,0,1,2,1,1
254,CLUJ_5_beta_29.4,2024-01-02,0,1,1,2,1,1
255,CLUJ_5_beta_30.1,2024-01-02,1,0,1,2,1,1
256,CLUJ_5_beta_30.2,2024-01-02,1,1,1,2,1,1
257,CLUJ_5_beta_30.3,2024-01-02,1,1,1,2,1,1
258,CLUJ_5_beta_30.4,2024-01-02,1,1,1,2,1,1
259,CLUJ_5_beta_31.1,2024-01-02,0,1,1,2,1,1
260,CLUJ_5_beta_31.2,2024-01-02,0,0,1,2,1,1
261,CLUJ_5_beta_31.3,2024-01-02,1,0,1,2,1,1
262,CLUJ_5_beta_31.4,2024-01-02,1,0,1,2,1,1
263,CLUJ_5_beta_32.1,2024-01-02,1,0,1,2,1,1
264,CLUJ_5_beta_32.2,2024-01-02,1,1,1,2,1,1
265,CLUJ_5_beta_32.3,2024-01-02,0,1,1,2,1,1
266,CLUJ_5_beta_32.4,2024-01-02,0,0,1,2,1,1
267,CLUJ_5_beta_33.1,2024-01-02,1,1,1,2,1,1
268,CLUJ_5_beta_33.2,2024-01-02,0,1,1,2,1,1
269,CLUJ_5_beta_33.3,2024-01-02,0,0,1,2,1,1
270,CLUJ_5_beta_33.4,2024-01-02,1,0,1,2,1,1
271,CLUJ_5_beta_1.1,2024-01-03,1,0,2,3,1,1
272,CLUJ_5_beta_1.2,2024-01-03,0,0,2,3,1,1
273,CLUJ_5_beta_1.3,2024-01-03,1,0,2,3,1,1
274,CLUJ_5_beta_1.4,2024-01-03,1,1,2,3,1,1
275,CLUJ_5_beta_2.1,2024-01-03,1,1,2,3,1,1
276,CLUJ_5_beta_2.2,2024-01-03,1,1,2,3,1,1
277,CLUJ_5_beta_2.3,2024-01-03,1,0,2,3,1,1
278,CLUJ_5_beta_2.4,2024-01-03,0,1,2,3,1,1
279,CLUJ_5_beta_3.1,2024-01-03,1,1,2,3,1,1
280,CLUJ_5_beta_3.2,2024-01-03,1,1,2,3,1,1
281,CLUJ_5_beta_3.3,2024-01-03,0,1,2,3,1,1
282,CLUJ_5_beta_3.4,2024-01-03,1,1,2,3,1,1
283,CLUJ_5_beta_4.1,2024-01-03,1,1,2,3,1,1
284,CLUJ_5_beta_4.2,2024-01-03,0,0,2,3,1,1
285,CLUJ_5_beta_4.3,2024-01-03,0,1,2,3,1,1
286,CLUJ_5_beta_4.4,2024-01-03,0,0,2,3,1,1
287,CLUJ_5_beta_5.1,2024-01-03,0,1,2,3,1,1
288,CLUJ_5_beta_5.2,2024-01-03,1,0,2,3,1,1
289,CLUJ_5_beta_5.3,2024-01-03,0,0,2,3,1,1
290,CLUJ_5_beta_5.4,2024-01-03,1,1,2,3,1,1
291,CLUJ_5_beta_6.1,2024-01-03,1,0,2,3,1,1
292,CLUJ_5_beta_6.2,2024-01-03,1,1,2,3,1,1
293,CLUJ_5_beta_6.3,2024-01-03,1,1,2,3,1,1
294,CLUJ_5_beta_6.4,2024-01-03,1,0,2,3,1,1
295,CLUJ_5_beta_7.1,2024-01-03,1,0,2,3,1,1
296,CLUJ_5_beta_7.2,2024-01-03,0,1,2,3,1,1
297,CLUJ_5_beta_7.3,2024-01-03,0,0,2,3,1,1
298,CLUJ_5_beta_7.4,2024-01-03,0,1,2,3,1,1
299,CLUJ_5_beta_8.1,2024-01-03,1,1,2,3,1,1
300,CLUJ_5_beta_8.2,2024-01-03,1,1,2,3,1,1
301,CLUJ_5_beta_8.3,2024-01-03,1,0,2,3,1,1
302,CLUJ_5_beta_8.4,2024-01-03,0,0,2,3,1,1
303,CLUJ_5_beta_9.1,2024-01-03,1,1,2,3,1,1
304,CLUJ_5_beta_9.2,2024-01-03,1,0,2,3,1,1
305,CLUJ_5_beta_9.3,2024-01-03,1,0,2,3,1,1
306,CLUJ_5_beta_9.4,2024-01-03,0,0,2,3,1,1
307,CLUJ_5_beta_10.1,2024-01-03,0,1,2,3,1,1
308,CLUJ_5_beta_10.2,2024-01-03,1,1,2,3,1,1
309,CLUJ_5_beta_10.3,2024-01-03,0,1,2,3,1,1
310,CLUJ_5_beta_10.4,2024-01-03,1,1,2,3,1,1
311,CLUJ_5_beta_11.1,2024-01-03,0,1,2,3,1,1
312,CLUJ_5_beta_11.2,2024-01-03,0,0,2,3,1,1
313,CLUJ_5_beta_11.3,2024-01-03,0,1,2,3,1,1
314,CLUJ_5_beta_11.4,2024-01-03,1,1,2,3,1,1
315,CLUJ_5_beta_12.1,2024-01-03,1,0,2,3,1,1
316,CLUJ_5_beta_12.2,2024-01-03,1,0,2,3,1,1
317,CLUJ_5_beta_12.3,2024-01-03,1,1,2,3,1,1
318,CLUJ_5_beta_12.4,2024-01-03,0,1,2,3,1,1
319,CLUJ_5_beta_13.1,2024-01-03,0,0,2,3,1,1
320,CLUJ_5_beta_13.2,2024-01-03,1,1,2,3,1,1
321,CLUJ_5_beta_13.3,2024-01-03,1,1,2,3,1,1
322,CLUJ_5_beta_13.4,2024-01-03,1,1,2,3,1,1
323,CLUJ_5_beta_14.1,2024-01-03,0,0,2,3,1,1
324,CLUJ_5_beta_14.2,2024-01-03,0,0,2,3,1,1
325,CLUJ_5_beta_14.3,2024-01-03,0,1,2,3,1,1
326,CLUJ_5_beta_14.4,2024-01-03,1,0,2,3,1,1
327,CLUJ_5_beta_15.1,2024-01-03,1,0,2,3,1,1
328,CLUJ_5_beta_15.2,2024-01-03,1,1,2,3,1,1
329,CLUJ_5_beta_15.3,2024-01-03,0,1,2,3,1,1
330,CLUJ_5_beta_15.4,2024-01-03,1,1,2,3,1,1
331,CLUJ_5_beta_16.1,2024-01-03,0,1,2,3,1,1
332,CLUJ_5_beta_16.2,2024-01-03,1,1,2,3,1,1
333,CLUJ_5_beta_16.3,2024-01-03,1,0,2,3,1,1
334,CLUJ_5_beta_16.4,2024-01-03,1,0,2,3,1,1
335,CLUJ_5_beta_17.1,2024-01-03,0,1,2,3,1,1
336,CLUJ_5_beta_17.2,2024-01-03,0,0,2,3,1,1
337,CLUJ_5_beta_17.3,2024-01-03,0,1,2,3,1,1
338,CLUJ_5_beta_17.4,2024-01-03,0,1,2,3,1,1
339,CLUJ_5_beta_18.1,2024-01-03,1,1,2,3,1,1
340,CLUJ_5_beta_18.2,2024-01-03,1,1,2,3,1,1
341,CLUJ_5_beta_18.3,2024-01-03,0,0,2,3,1,1
342,CLUJ_5_beta_18.4,2024-01-03,1,0,2,3,1,1
343,CLUJ_5_beta_18.5,2024-01-03,1,1,2,3,1,1
344,CLUJ_5_beta_19.1,2024-01-03,1,1,2,3,1,1
345,CLUJ_5_beta_19.2,2024-01-03,0,0,2,3,1,1
346,CLUJ_5_beta_19.3,2024-01-03,0,0,2,3,1,1
347,CLUJ_5_beta_19.4,2024-01-03,1,0,2,3,1,1
348,CLUJ_5_beta_19.5,2024-01-03,0,0,2,3,1,1
349,CLUJ_5_beta_19.6,2024-01-03,1,0,2,3,1,1
350,CLUJ_5_beta_20.1,2024-01-03,1,1,2,3,1,1
351,CLUJ_5_beta_20.2,2024-01-03,1,0,2,3,1,1
352,CLUJ_5_beta_20.3,2024-01-03,0,1,2,3,1,1
353,CLUJ_5_beta_20.4,2024-01-03,0,1,2,3,1,1
354,CLUJ_5_beta_21.1,2024-01-03,0,0,2,3,1,1
355,CLUJ_5_beta_21.2,2024-01-03,1,0,2,3,1,1
356,CLUJ_5_beta_21.3,2024-01-03,0,0,2,3,1,1
357,CLUJ_5_beta_21.4,2024-01-03,0,0,2,3,1,1
358,CLUJ_5_beta_22.1,2024-01-03,1,0,2,3,1,1
359,CLUJ_5_beta_22.2,2024-01-03,1,0,2,3,1,1
360,CLUJ_5_beta_22.3,2024-01-03,0,0,2,3,1,1
361,CLUJ_5_beta_22.4,2024-01-03,1,1,2,3,1,1
362,CLUJ_5_beta_23.1,2024-01-03,1,1,2,3,1,1
363,CLUJ_5_beta_23.2,2024-01-03,0,1,2,3,1,1
364,CLUJ_5_beta_23.3,2024-01-03,0,0,2,3,1,1
365,CLUJ_5_beta_23.4,2024-01-03,1,1,2,3,1,1
366,CLUJ_5_beta_24.1,2024-01-03,0,0,2,3,1,1
367,CLUJ_5_beta_24.2,2024-01-03,1,1,2,3,1,1
368,CLUJ_5_beta_24.3,2024-01-03,0,0,2,3,1,1
369,CLUJ_5_beta_24.4,2024-01-03,1,0,2,3,1,1
370,CLUJ_5_beta_25.1,2024-01-03,1,0,2,3,1,1
371,CLUJ_5_beta_25.2,2024-01-03,1,0,2,3,1,1
372,CLUJ_5_beta_25.3,2024-01-03,1,0,2,3,1,1
373,CLUJ_5_beta_25.4,2024-01-03,0,1,2,3,1,1
374,CLUJ_5_beta_26.1,2024-01-03,0,1,2,3,1,1
375,CLUJ_5_beta_26.2,2024-01-03,0,0,2,3,1,1
376,CLUJ_5_beta_26.3,2024-01-03,1,1,2,3,1,1
377,CLUJ_5_beta_26.4,2024-01-03,1,1,2,3,1,1
378,CLUJ_5_beta_27.1,2024-01-03,0,0,2,3,1,1
379,CLUJ_5_beta_27.2,2024-01-03,0,0,2,3,1,1
380,CLUJ_5_beta_27.3,2024-01-03,1,1,2,3,1,1
381,CLUJ_5_beta_27.4,2024-01-03,1,1,2,3,1,1
382,CLUJ_5_beta_28.1,2024-01-03,0,1,2,3,1,1
383,CLUJ_5_beta_28.2,2024-01-03,1,0,2,3,1,1
384,CLUJ_5_beta_28.3,2024-01-03,0,0,2,3,1,1
385,CLUJ_5_beta_28.4,2024-01-03,0,0,2,3,1,1
386,CLUJ_5_beta_29.1,2024-01-03,0,0,2,3,1,1
