row,room,capacity,date,nineToEleven,attendanceNineToEleven,elevenToOne,attendanceElevenToOne,oneToThree,attendanceOneToThree,threeToFive,attendanceThreeToFive,day_of_week,week_of_year
101,Pole Position,20,2024-01-23,0,0.0,0,0.0,0,0.0,1,11.0,1,4.0
102,Cockpit,10,2024-01-23,0,0.0,1,6.0,1,6.0,0,0.0,1,4.0
103,Pit-Lane,4,2024-01-24,1,3.0,1,3.0,0,0.0,1,3.0,2,4.0
104,Dry-lane,4,2024-01-24,0,0.0,0,0.0,0,0.0,0,0.0,2,4.0
105,Joker Lap,4,2024-01-24,1,2.0,0,0.0,0,0.0,0,0.0,2,4.0
106,Quick 8,8,2024-01-24,1,6.0,1,5.0,0,0.0,0,0.0,2,4.0
107,Pole Position,20,2024-01-24,1,19.0,1,18.0,1,13.0,0,0.0,2,4.0
108,Cockpit,10,2024-01-24,1,5.0,1,8.0,1,10.0,1,7.0,2,4.0
109,Pit-Lane,4,2024-01-25,1,2.0,0,0.0,0,0.0,1,4.0,3,4.0
110,Dry-lane,4,2024-01-25,1,4.0,0,0.0,1,3.0,1,4.0,3,4.0
111,Joker Lap,4,2024-01-25,0,0.0,1,3.0,1,3.0,1,4.0,3,4.0
112,Quick 8,8,2024-01-25,0,0.0,0,0.0,0,0.0,0,0.0,3,4.0
113,Pole Position,20,2024-01-25,1,11.0,1,10.0,0,0.0,1,13.0,3,4.0
114,Cockpit,10,2024-01-25,1,6.0,0,0.0,1,7.0,0,0.0,3,4.0
115,Pit-Lane,4,2024-01-26,0,0.0,0,0.0,1,2.0,1,4.0,4,4.0
116,Dry-lane,4,2024-01-26,0,0.0,0,0.0,0,0.0,1,3.0,4,4.0
117,Joker Lap,4,2024-01-26,1,2.0,0,0.0,0,0.0,1,3.0,4,4.0
118,Quick 8,8,2024-01-26,0,0.0,1,7.0,0,0.0,1,8.0,4,4.0
119,Pole Position,20,2024-01-26,0,0.0,0,0.0,0,0.0,1,15.0,4,4.0
120,Cockpit,10,2024-01-26,0,0.0,1,8.0,1,10.0,0,0.0,4,4.0
121,Pit-Lane,4,2024-01-29,0,0.0,1,4.0,1,2.0,1,4.0,0,5.0
122,Dry-lane,4,2024-01-29,0,0.0,1,3.0,1,3.0,0,0.0,0,5.0
123,Joker Lap,4,2024-01-29,0,0.0,1,3.0,1,3.0,1,2.0,0,5.0
124,Quick 8,8,2024-01-29,0,0.0,1,6.0,1,6.0,0,0.0,0,5.0
125,Pole Position,20,2024-01-29,0,0.0,1,12.0,1,12.0,0,0.0,0,5.0
126,Cockpit,10,2024-01-29,0,0.0,1,7.0,0,0.0,0,0.0,0,5.0
127,Pit-Lane,4,2024-01-30,1,2.0,0,0.0,0,0.0,1,3.0,1,5.0
128,Dry-lane,4,2024-01-30,1,3.0,0,0.0,0,0.0,0,0.0,1,5.0
129,Joker Lap,4,2024-01-30,1,2.0,1,2.0,1,2.0,0,0.0,1,5.0
130,Quick 8,8,2024-01-30,1,5.0,0,0.0,0,0.0,0,0.0,1,5.0
131,Pole Position,20,2024-01-30,1,17.0,0,0.0,0,0.0,1,13.0,1,5.0
132,Cockpit,10,2024-01-30,1,9.0,1,7.0,1,6.0,0,0.0,1,5.0
133,Pit-Lane,4,2024-01-31,1,3.0,0,0.0,0,0.0,1,3.0,2,5.0
134,Dry-lane,4,2024-01-31,1,3.0,1,3.0,1,3.0,0,0.0,2,5.0
135,Joker Lap,4,2024-01-31,1,3.0,1,2.0,0,0.0,1,4.0,2,5.0
136,Quick 8,8,2024-01-31,1,5.0,1,4.0,0,0.0,0,0.0,2,5.0
137,Pole Position,20,2024-01-31,1,10.0,0,0.0,0,0.0,1,16.0,2,5.0
138,Cockpit,10,2024-01-31,0,0.0,0,0.0,0,0.0,0,0.0,2,5.0
139,Pit-Lane,4,2024-02-01,0,0.0,1,3.0,0,0.0,0,0.0,3,5.0
140,Dry-lane,4,2024-02-01,1,2.0,0,0.0,0,0.0,1,2.0,3,5.0
141,Joker Lap,4,2024-02-01,0,0.0,1,2.0,1,3.0,1,2.0,3,5.0
142,Quick 8,8,2024-02-01,0,0.0,1,7.0,1,8.0,0,0.0,3,5.0
143,Pole Position,20,2024-02-01,0,0.0,0,0.0,0,0.0,0,0.0,3,5.0
144,Cockpit,10,2024-02-01,1,7.0,1,5.0,0,0.0,1,7.0,3,5.0
145,Pit-Lane,4,2024-02-02,0,0.0,1,4.0,0,0.0,0,0.0,4,5.0
146,Dry-lane,4,2024-02-02,1,3.0,1,4.0,0,0.0,1,2.0,4,5.0
147,Joker Lap,4,2024-02-02,1,4.0,0,0.0,1,2.0,0,0.0,4,5.0
148,Quick 8,8,2024-02-02,1,8.0,0,0.0,0,0.0,1,7.0,4,5.0
149,Pole Position,20,2024-02-02,0,0.0,0,0.0,1,10.0,1,19.0,4,5.0
150,Cockpit,10,2024-02-02,0,0.0,0,0.0,0,0.0,1,10.0,4,5.0
151,Pit-Lane,4,2024-02-05,1,3.0,1,3.0,1,2.0,1,3.0,0,6.0
152,Dry-lane,4,2024-02-05,1,3.0,1,3.0,1,4.0,0,0.0,0,6.0
153,Joker Lap,4,2024-02-05,0,0.0,1,4.0,0,0.0,0,0.0,0,6.0
154,Quick 8,8,2024-02-05,1,6.0,0,0.0,0,0.0,1,6.0,0,6.0
155,Pole Position,20,2024-02-05,1,12.0,1,19.0,1,12.0,0,0.0,0,6.0
156,Cockpit,10,2024-02-05,0,0.0,1,5.0,0,0.0,1,6.0,0,6.0
157,Pit-Lane,4,2024-02-06,0,0.0,1,3.0,1,3.0,0,0.0,1,6.0
158,Dry-lane,4,2024-02-06,1,4.0,0,0.0,1,2.0,1,3.0,1,6.0
159,Joker Lap,4,2024-02-06,1,2.0,0,0.0,1,2.0,0,0.0,1,6.0
160,Quick 8,8,2024-02-06,0,0.0,0,0.0,0,0.0,1,6.0,1,6.0
161,Pole Position,20,2024-02-06,1,19.0,0,0.0,0,0.0,0,0.0,1,6.0
162,Cockpit,10,2024-02-06,1,7.0,0,0.0,0,0.0,1,10.0,1,6.0
163,Pit-Lane,4,2024-02-07,0,0.0,1,2.0,1,2.0,0,0.0,2,6.0
164,Dry-lane,4,2024-02-07,1,3.0,0,0.0,1,3.0,0,0.0,2,6.0
165,Joker Lap,4,2024-02-07,1,2.0,1,4.0,1,2.0,1,2.0,2,6.0
166,Quick 8,8,2024-02-07,0,0.0,0,0.0,0,0.0,1,5.0,2,6.0
167,Pole Position,20,2024-02-07,0,0.0,1,16.0,0,0.0,0,0.0,2,6.0
168,Cockpit,10,2024-02-07,0,0.0,1,5.0,1,9.0,1,6.0,2,6.0
169,Pit-Lane,4,2024-02-08,0,0.0,0,0.0,0,0.0,0,0.0,3,6.0
170,Dry-lane,4,2024-02-08,1,2.0,0,0.0,1,3.0,1,3.0,3,6.0
171,Joker Lap,4,2024-02-08,1,4.0,0,0.0,1,4.0,1,3.0,3,6.0
172,Quick 8,8,2024-02-08,1,5.0,0,0.0,1,8.0,1,8.0,3,6.0
173,Pole Position,20,2024-02-08,0,0.0,1,14.0,0,0.0,0,0.0,3,6.0
174,Cockpit,10,2024-02-08,0,0.0,0,0.0,1,5.0,1,5.0,3,6.0
175,Pit-Lane,4,2024-02-09,1,2.0,0,0.0,1,3.0,1,3.0,4,6.0
176,Dry-lane,4,2024-02-09,0,0.0,0,0.0,1,2.0,1,3.0,4,6.0
177,Joker Lap,4,2024-02-09,1,2.0,0,0.0,0,0.0,0,0.0,4,6.0
178,Quick 8,8,2024-02-09,1,6.0,1,8.0,0,0.0,0,0.0,4,6.0
179,Pole Position,20,2024-02-09,1,14.0,1,15.0,0,0.0,1,15.0,4,6.0
180,Cockpit,10,2024-02-09,1,10.0,1,6.0,1,8.0,1,6.0,4,6.0
181,Pit-Lane,4,2024-02-12,0,0.0,1,3.0,1,2.0,0,0.0,0,7.0
182,Dry-lane,4,2024-02-12,1,3.0,0,0.0,1,3.0,0,0.0,0,7.0
183,Joker Lap,4,2024-02-12,0,0.0,1,4.0,1,3.0,0,0.0,0,7.0
184,Quick 8,8,2024-02-12,1,8.0,1,8.0,0,0.0,1,7.0,0,7.0
185,Pole Position,20,2024-02-12,1,12.0,1,13.0,0,0.0,0,0.0,0,7.0
186,Cockpit,10,2024-02-12,1,10.0,0,0.0,1,8.0,1,5.0,0,7.0
187,Pit-Lane,4,2024-02-13,0,0.0,0,0.0,0,0.0,0,0.0,1,7.0
188,Dry-lane,4,2024-02-13,1,3.0,1,3.0,0,0.0,0,0.0,1,7.0
189,Joker Lap,4,2024-02-13,0,0.0,1,4.0,1,2.0,0,0.0,1,7.0
190,Quick 8,8,2024-02-13,1,6.0,1,6.0,0,0.0,1,6.0,1,7.0
191,Pole Position,20,2024-02-13,0,0.0,0,0.0,1,17.0,1,16.0,1,7.0
192,Cockpit,10,2024-02-13,0,0.0,0,0.0,1,6.0,0,0.0,1,7.0
193,Pit-Lane,4,2024-02-14,1,3.0,1,2.0,1,3.0,1,3.0,2,7.0
194,Dry-lane,4,2024-02-14,0,0.0,1,2.0,0,0.0,1,4.0,2,7.0
195,Joker Lap,4,2024-02-14,1,4.0,1,2.0,1,2.0,0,0.0,2,7.0
196,Quick 8,8,2024-02-14,0,0.0,1,6.0,1,6.0,1,5.0,2,7.0
197,Pole Position,20,2024-02-14,1,17.0,1,11.0,0,0.0,1,13.0,2,7.0
198,Cockpit,10,2024-02-14,0,0.0,1,9.0,1,6.0,0,0.0,2,7.0
199,Pit-Lane,4,2024-02-15,1,3.0,0,0.0,1,3.0,0,0.0,3,7.0
200,Dry-lane,4,2024-02-15,1,2.0,0,0.0,1,2.0,0,0.0,3,7.0
201,Joker Lap,4,2024-02-15,0,0.0,0,0.0,1,4.0,0,0.0,3,7.0
202,Quick 8,8,2024-02-15,0,0.0,0,0.0,1,7.0,0,0.0,3,7.0
203,Pole Position,20,2024-02-15,0,0.0,0,0.0,1,19.0,0,0.0,3,7.0
204,Cockpit,10,2024-02-15,1,7.0,0,0.0,0,0.0,0,0.0,3,7.0
205,Pit-Lane,4,2024-02-16,1,3.0,1,3.0,0,0.0,1,3.0,4,7.0
206,Dry-lane,4,2024-02-16,1,3.0,0,0.0,1,4.0,0,0.0,4,7.0
207,Joker Lap,4,2024-02-16,1,3.0,0,0.0,1,3.0,0,0.0,4,7.0
208,Quick 8,8,2024-02-16,1,7.0,0,0.0,1,4.0,1,8.0,4,7.0
209,Pole Position,20,2024-02-16,1,14.0,0,0.0,1,10.0,0,0.0,4,7.0
210,Cockpit,10,2024-02-16,0,0.0,0,0.0,0,0.0,0,0.0,4,7.0
211,Pit-Lane,4,2024-02-19,0,0.0,0,0.0,1,2.0,1,3.0,0,8.0
212,Dry-lane,4,2024-02-19,0,0.0,0,0.0,1,4.0,0,0.0,0,8.0
213,Joker Lap,4,2024-02-19,0,0.0,0,0.0,1,2.0,1,2.0,0,8.0
214,Quick 8,8,2024-02-19,0,0.0,0,0.0,1,8.0,0,0.0,0,8.0
215,Pole Position,20,2024-02-19,0,0.0,0,0.0,1,15.0,0,0.0,0,8.0
216,Cockpit,10,2024-02-19,1,5.0,0,0.0,1,10.0,1,7.0,0,8.0
217,Pit-Lane,4,2024-02-20,1,2.0,0,0.0,1,3.0,1,3.0,1,8.0
218,Dry-lane,4,2024-02-20,1,3.0,1,4.0,0,0.0,1,4.0,1,8.0
219,Joker Lap,4,2024-02-20,0,0.0,1,2.0,1,3.0,1,2.0,1,8.0
220,Quick 8,8,2024-02-20,1,5.0,1,8.0,0,0.0,0,0.0,1,8.0
221,Pole Position,20,2024-02-20,1,16.0,0,0.0,1,17.0,1,14.0,1,8.0
222,Cockpit,10,2024-02-20,1,5.0,0,0.0,1,7.0,1,5.0,1,8.0
223,Pit-Lane,4,2024-02-21,0,0.0,1,2.0,1,2.0,0,0.0,2,8.0
224,Dry-lane,4,2024-02-21,1,4.0,1,2.0,0,0.0,0,0.0,2,8.0
225,Joker Lap,4,2024-02-21,0,0.0,0,0.0,1,2.0,0,0.0,2,8.0
226,Quick 8,8,2024-02-21,1,8.0,0,0.0,0,0.0,0,0.0,2,8.0
227,Pole Position,20,2024-02-21,0,0.0,0,0.0,1,17.0,0,0.0,2,8.0
228,Cockpit,10,2024-02-21,0,0.0,1,9.0,0,0.0,0,0.0,2,8.0
229,Pit-Lane,4,2024-02-22,0,0.0,0,0.0,1,3.0,0,0.0,3,8.0
230,Dry-lane,4,2024-02-22,0,0.0,0,0.0,0,0.0,0,0.0,3,8.0
231,Joker Lap,4,2024-02-22,0,0.0,1,3.0,1,2.0,1,3.0,3,8.0
232,Quick 8,8,2024-02-22,0,0.0,0,0.0,0,0.0,1,5.0,3,8.0
233,Pole Position,20,2024-02-22,0,0.0,1,14.0,1,10.0,0,0.0,3,8.0
234,Cockpit,10,2024-02-22,0,0.0,0,0.0,1,7.0,0,0.0,3,8.0
235,Pit-Lane,4,2024-02-23,0,0.0,1,3.0,0,0.0,1,4.0,4,8.0
236,Dry-lane,4,2024-02-23,0,0.0,0,0.0,1,3.0,1,3.0,4,8.0
237,Joker Lap,4,2024-02-23,1,3.0,1,3.0,1,2.0,0,0.0,4,8.0
238,Quick 8,8,2024-02-23,0,0.0,1,4.0,0,0.0,1,6.0,4,8.0
239,Pole Position,20,2024-02-23,1,13.0,1,16.0,1,11.0,1,12.0,4,8.0
240,Cockpit,10,2024-02-23,0,0.0,0,0.0,0,0.0,1,9.0,4,8.0
241,Pit-Lane,4,2024-02-26,1,2.0,0,0.0,0,0.0,1,3.0,0,9.0
242,Dry-lane,4,2024-02-26,1,2.0,0,0.0,0,0.0,1,2.0,0,9.0
243,Joker Lap,4,2024-02-26,0,0.0,1,2.0,0,0.0,1,3.0,0,9.0
244,Quick 8,8,2024-02-26,0,0.0,0,0.0,0,0.0,0,0.0,0,9.0
245,Pole Position,20,2024-02-26,1,19.0,0,0.0,0,0.0,0,0.0,0,9.0
246,Cockpit,10,2024-02-26,0,0.0,0,0.0,0,0.0,1,7.0,0,9.0
247,Pit-Lane,4,2024-02-27,0,0.0,0,0.0,0,0.0,0,0.0,1,9.0
248,Dry-lane,4,2024-02-27,1,3.0,0,0.0,0,0.0,0,0.0,1,9.0
249,Joker Lap,4,2024-02-27,0,0.0,1,4.0,1,3.0,1,3.0,1,9.0
250,Quick 8,8,2024-02-27,1,4.0,1,4.0,0,0.0,0,0.0,1,9.0
251,Pole Position,20,2024-02-27,1,15.0,1,17.0,0,0.0,1,12.0,1,9.0
252,Cockpit,10,2024-02-27,0,0.0,0,0.0,1,7.0,1,10.0,1,9.0
253,Pit-Lane,4,2024-02-28,1,4.0,0,0.0,0,0.0,0,0.0,2,9.0
254,Dry-lane,4,2024-02-28,1,4.0,0,0.0,0,0.0,1,3.0,2,9.0
255,Joker Lap,4,2024-02-28,1,4.0,1,2.0,1,2.0,1,4.0,2,9.0
256,Quick 8,8,2024-02-28,0,0.0,0,0.0,1,6.0,1,8.0,2,9.0
257,Pole Position,20,2024-02-28,0,0.0,1,10.0,0,0.0,0,0.0,2,9.0
258,Cockpit,10,2024-02-28,0,0.0,0,0.0,1,6.0,1,10.0,2,9.0
259,Pit-Lane,4,2024-02-29,1,3.0,0,0.0,0,0.0,1,3.0,3,9.0
260,Dry-lane,4,2024-02-29,1,4.0,0,0.0,1,3.0,1,4.0,3,9.0
261,Joker Lap,4,2024-02-29,1,3.0,0,0.0,1,3.0,0,0.0,3,9.0
262,Quick 8,8,2024-02-29,0,0.0,0,0.0,0,0.0,0,0.0,3,9.0
263,Pole Position,20,2024-02-29,0,0.0,1,16.0,1,13.0,0,0.0,3,9.0
264,Cockpit,10,2024-02-29,0,0.0,0,0.0,0,0.0,1,9.0,3,9.0
265,Pit-Lane,4,2024-03-01,1,3.0,1,3.0,1,3.0,0,0.0,4,9.0
266,Dry-lane,4,2024-03-01,1,2.0,1,4.0,0,0.0,1,4.0,4,9.0
267,Joker Lap,4,2024-03-01,0,0.0,1,2.0,0,0.0,1,3.0,4,9.0
268,Quick 8,8,2024-03-01,0,0.0,1,5.0,0,0.0,1,6.0,4,9.0
269,Pole Position,20,2024-03-01,1,15.0,0,0.0,1,12.0,0,0.0,4,9.0
270,Cockpit,10,2024-03-01,1,9.0,1,9.0,1,5.0,1,8.0,4,9.0
271,Pit-Lane,4,2024-03-04,0,0.0,1,2.0,0,0.0,0,0.0,0,10.0
272,Dry-lane,4,2024-03-04,0,0.0,0,0.0,0,0.0,0,0.0,0,10.0
273,Joker Lap,4,2024-03-04,1,3.0,1,3.0,1,4.0,0,0.0,0,10.0
274,Quick 8,8,2024-03-04,1,5.0,0,0.0,1,4.0,1,4.0,0,10.0
275,Pole Position,20,2024-03-04,0,0.0,0,0.0,0,0.0,1,13.0,0,10.0
276,Cockpit,10,2024-03-04,0,0.0,1,10.0,1,8.0,1,9.0,0,10.0
277,Pit-Lane,4,2024-03-05,0,0.0,1,2.0,0,0.0,0,0.0,1,10.0
278,Dry-lane,4,2024-03-05,1,3.0,0,0.0,1,3.0,0,0.0,1,10.0
279,Joker Lap,4,2024-03-05,0,0.0,0,0.0,1,3.0,0,0.0,1,10.0
280,Quick 8,8,2024-03-05,0,0.0,1,7.0,0,0.0,0,0.0,1,10.0
281,Pole Position,20,2024-03-05,1,19.0,0,0.0,0,0.0,0,0.0,1,10.0
282,Cockpit,10,2024-03-05,0,0.0,1,6.0,1,9.0,1,6.0,1,10.0
283,Pit-Lane,4,2024-03-06,1,3.0,0,0.0,1,2.0,0,0.0,2,10.0
284,Dry-lane,4,2024-03-06,1,3.0,1,2.0,1,4.0,0,0.0,2,10.0
285,Joker Lap,4,2024-03-06,1,4.0,1,3.0,0,0.0,0,0.0,2,10.0
286,Quick 8,8,2024-03-06,1,7.0,0,0.0,1,8.0,0,0.0,2,10.0
287,Pole Position,20,2024-03-06,1,17.0,1,17.0,1,17.0,1,18.0,2,10.0
288,Cockpit,10,2024-03-06,1,10.0,1,5.0,1,8.0,0,0.0,2,10.0
289,Pit-Lane,4,2024-03-07,0,0.0,1,4.0,0,0.0,0,0.0,3,10.0
